Model,Resampling,Fold,Accuracy,Precision,Recall,F1 Score,AUC,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test AUC
CatBoost,Original,2,0.8675,0.8353658536585366,0.4254658385093168,0.5637860082304528,0.872879790822228,0.85,0.7758620689655172,0.4205607476635514,0.5454545454545454,0.865941059665644
CatBoost,Original,4,0.8617886178861789,0.7700534759358288,0.4472049689440994,0.5658153241650294,0.862435979124209,0.852,0.7727272727272727,0.4369158878504673,0.5582089552238806,0.8657790540058501
CatBoost,Original,1,0.860625,0.7734806629834254,0.43478260869565216,0.5566600397614314,0.859408868670963,0.8525,0.7903930131004366,0.42289719626168226,0.5509893455098934,0.866651506504007
CatBoost,Original,0,0.85875,0.7553191489361702,0.4409937888198758,0.5568627450980392,0.8624488476754244,0.8525,0.7759336099585062,0.4369158878504673,0.5590433482810164,0.8667570331264417
CatBoost,Original,3,0.8555347091932458,0.7357512953367875,0.4409937888198758,0.5514563106796116,0.843702729125425,0.8475,0.7639484978540773,0.4158878504672897,0.5385779122541604,0.8647981023043447
CatBoost,SMOTE,3,0.8090019569471625,0.8066770186335404,0.8129890453834115,0.8098207326578333,0.892463324276994,0.796,0.5161812297734628,0.7453271028037384,0.609942638623327,0.8541027561770231
CatBoost,SMOTE,2,0.8043052837573386,0.8155970755483347,0.7862176977290525,0.8006379585326954,0.891700765806008,0.8035,0.5293132328308208,0.7383177570093458,0.6165853658536585,0.8532139544838411
CatBoost,SMOTE,0,0.7949921752738655,0.8016,0.784037558685446,0.7927215189873417,0.8848347868466231,0.7935,0.5121163166397416,0.7406542056074766,0.6055396370582616,0.8538753537371286
CatBoost,SMOTE,4,0.7937377690802349,0.8070318887980377,0.7723004694835681,0.7892842862854859,0.8826300270954887,0.798,0.5198019801980198,0.735981308411215,0.6092843326885881,0.8523117761765475
CatBoost,Undersampling,0,0.7934782608695652,0.8098360655737705,0.7670807453416149,0.7878787878787878,0.8763068554453918,0.79,0.5063492063492063,0.7453271028037384,0.6030245746691871,0.8632716820051842
CatBoost,Oversampling,3,0.7898238747553816,0.7980691874497184,0.7762128325508607,0.7869892899643,0.8745801179652526,0.801,0.5243506493506493,0.7546728971962616,0.6187739463601533,0.8668922855580129
CatBoost,SMOTE,1,0.7843444227005871,0.7951219512195122,0.7658574784651527,0.7802153968887117,0.8745111843951554,0.7935,0.5120772946859904,0.7429906542056075,0.6062917063870353,0.8544966231480822
CatBoost,Oversampling,1,0.7835616438356164,0.8057432432432432,0.7470634299138607,0.7752945956928078,0.8681227274899724,0.8055,0.5317073170731708,0.764018691588785,0.6270373921380633,0.8682552139069226
CatBoost,Oversampling,2,0.7827788649706457,0.8018394648829431,0.7509788566953798,0.7755762232106753,0.8723022464378195,0.804,0.5295081967213114,0.7546728971962616,0.6223506743737957,0.8667496016741575
CatBoost,Oversampling,0,0.7812989045383412,0.7983402489626557,0.7527386541471048,0.7748691099476439,0.8658996230906566,0.803,0.5275080906148867,0.7616822429906542,0.6233269598470362,0.8680129485624599
CatBoost,Oversampling,4,0.7812133072407045,0.8085836909871245,0.7370892018779343,0.7711829717560376,0.8761603817633025,0.807,0.5347682119205298,0.7546728971962616,0.625968992248062,0.8667436565123303
CatBoost,Undersampling,1,0.7795031055900621,0.7922077922077922,0.7577639751552795,0.7746031746031746,0.8652540411249566,0.7875,0.5023547880690737,0.7476635514018691,0.6009389671361502,0.8644057216237425
CatBoost,Undersampling,4,0.7748447204968945,0.7739938080495357,0.7763975155279503,0.7751937984496124,0.8590669727248177,0.7755,0.4846715328467153,0.7757009345794392,0.596585804132974,0.8618210625193218
CatBoost,Undersampling,3,0.7686335403726708,0.7993079584775087,0.717391304347826,0.7561374795417348,0.851143860190579,0.794,0.5124223602484472,0.7710280373831776,0.6156716417910448,0.862400715797484
CatBoost,Undersampling,2,0.7624223602484472,0.7665615141955836,0.7546583850931677,0.7605633802816901,0.840182670421666,0.785,0.49847560975609756,0.764018691588785,0.603321033210332,0.8651414353998716
